Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.4263,-1.725,0.66023,0,0,0,0.13608,6.957E-06,-6.1075E-09,3.4144E-07,0.00017425,6.043E-08,0.00017497,0,0,0,0,0,0,package://tesla1/meshes/base_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://tesla1/meshes/base_link.STL,,tesla model s 70-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
plate,-0.0078304,-1.3571,-0.60073,0,0,0,0.015097,2.5034E-06,4.5302E-08,-1.62E-09,1.0374E-05,9.3236E-12,1.2868E-05,0,0,0,0,0,0,package://tesla1/meshes/plate.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://tesla1/meshes/plate.STL,,Licence Plate-BC_CAR-Vanity-1-2;Licence Plate-BC_CAR-Vanity-1-1,Origin_plate,,plate,fixed,0.42318,-0.37646,0.66051,1.5708,-0.011511,3.1416,base_link,0,0,0,,,,,,,,,,,,
